,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
21,Cloud & DevOps Engineer,DevOps,Cloud Computing,Amazon Web Services (AWS),IT Infrastructure Management,Software Development,Infrastructure as code (IaC),unknown,['unknown'],unknown,,,,,,,,,,"['DevOps', 'Cloud Computing', 'Amazon Web Services (AWS)', 'IT Infrastructure Management', 'Software Development', 'Infrastructure as code (IaC)']"
22,Internship - PFE,Oracle Database,C++,Linux,Network administration,Web development,Network security,unknown,['unknown'],unknown,,,,,,,,,,"['Oracle Database', 'C++', 'Linux', 'Network administration', 'Web development', 'Network security']"
23,System Administrator,Engineers,Linux,Cloud Computing,DevOps,Amazon Web Services,Jenkins,"Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.
-Technologies: Nagios, Postfix, SMS Server Tools.","['Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.', '-Technologies: Nagios, Postfix, SMS Server Tools.']",Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.,"-Technologies: Nagios, Postfix, SMS Server Tools.",,,,,,,,,"['Engineers', 'Linux', 'Cloud Computing', 'DevOps', 'Amazon Web Services', 'Jenkins']"
24,Senior Devops Engineer,Continuous Integration and Continuous Delivery (CI/CD),IT Infrastructure Operations,Security,Server Administration,GitOps,Docker,unknown,['unknown'],unknown,,,,,,,,,,"['Continuous Integration and Continuous Delivery (CI/CD)', 'IT Infrastructure Operations', 'Security', 'Server Administration', 'GitOps', 'Docker']"
25,Trainee,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
26,DevOps & Cloud Engineer,Go,Terraform,Ansible,Scrum,Docker,Angular,unknown,['unknown'],unknown,,,,,,,,,,"['Go', 'Terraform', 'Ansible', 'Scrum', 'Docker', 'Angular']"
27,Cloud Support Engineer,Virtualization,Cloud Computing,Git,Microsoft Azure,Network Administration,DevOps,"24/7 development operations on IBMI AS400 system
Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.
Working on server health checks
Continue monitoring using HALCYON monitoring tool
Analyzing and taking care of ERP applications-related alerts
Generating and Sending the Performance Reports on time to customers.","['24/7 development operations on IBMI AS400 system', 'Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.', 'Working on server health checks', 'Continue monitoring using HALCYON monitoring tool', 'Analyzing and taking care of ERP applications-related alerts', 'Generating and Sending the Performance Reports on time to customers.']",24/7 development operations on IBMI AS400 system,"Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.",Working on server health checks,Continue monitoring using HALCYON monitoring tool,Analyzing and taking care of ERP applications-related alerts,Generating and Sending the Performance Reports on time to customers.,,,,,"['Virtualization', 'Cloud Computing', 'Git', 'Microsoft Azure', 'Network Administration', 'DevOps']"
28,DevOps Engineer,Tekton CI/CD,Gitlab,Continuous Integration and Continuous Delivery (CI/CD),Apache Kafka,OpenShift,Quarkus,unknown,['unknown'],unknown,,,,,,,,,,"['Tekton CI/CD', 'Gitlab', 'Continuous Integration and Continuous Delivery (CI/CD)', 'Apache Kafka', 'OpenShift', 'Quarkus']"
29,Azure Engineer,Cloud Computing,Cloud Applications,Enterprise Mobility,Networking,Microsoft Azure,System administration,Skills: Microsoft Azure,['Skills: Microsoft Azure'],Skills: Microsoft Azure,,,,,,,,,,"['Cloud Computing', 'Cloud Applications', 'Enterprise Mobility', 'Networking', 'Microsoft Azure', 'System administration']"
30,unknown,Spring Boot,Symfony Framework,Kubernetes,OpenStack,PHP,Engineering,unknown,['unknown'],unknown,,,,,,,,,,"['Spring Boot', 'Symfony Framework', 'Kubernetes', 'OpenStack', 'PHP', 'Engineering']"
31,Cloud Engineer ,C++,Java,SQL,Linux,PHP,JavaScript,unknown,['unknown'],unknown,,,,,,,,,,"['C++', 'Java', 'SQL', 'Linux', 'PHP', 'JavaScript']"
32,Cloud & DevOps Engineer ,Cloud Computing,Cloud Security,OpenStack,Big Data,Virtualization,Storage Virtualization,"Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).
Migrating on-premises Applications to the cloud (hybrid and full public solutions ).
Working With Azure Kubernetes Service both Managed and UnManaged.
Writing DockerFiles and Generating Docker Images.
Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).
Support of the Infrastructure and running Applications.","['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,,,,,"['Cloud Computing', 'Cloud Security', 'OpenStack', 'Big Data', 'Virtualization', 'Storage Virtualization']"
33,Senior Azure Cloud Engineer,CentOS,Apache,MySQL,VoIP,System Administration,Network security,unknown,['unknown'],unknown,,,,,,,,,,"['CentOS', 'Apache', 'MySQL', 'VoIP', 'System Administration', 'Network security']"
34,Internship Engineer DevOps,Cloud Computing,DevOps,AWS,Project management,Engineering,Analytical skills,Continuous integration and deployment (CI/CD) of an HRM application under odoo.,['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,,,,,,,,,,"['Cloud Computing', 'DevOps', 'AWS', 'Project management', 'Engineering', 'Analytical skills']"
35,DevSecOps Engineer,Nexus,Jenkins,Azure SQL,Azure Active Directory,Powershell scripting,Cloud security,unknown,['unknown'],unknown,,,,,,,,,,"['Nexus', 'Jenkins', 'Azure SQL', 'Azure Active Directory', 'Powershell scripting', 'Cloud security']"
36,DevOps & Kubernetes Administrator ,Cloud Computing,DevOps,Microsoft Azure,OpenStack,Docker,Kubernetes,"- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;
- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;
- Separating metrics and logs per namespaces using Prometheus federator;
- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;
- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;
- Kubernetes cluster administration.","['- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;', '- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;', '- Separating metrics and logs per namespaces using Prometheus federator;', '- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;', '- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;', '- Kubernetes cluster administration.']","- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;","- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;",- Separating metrics and logs per namespaces using Prometheus federator;,"- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;",- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;,- Kubernetes cluster administration.,,,,,"['Cloud Computing', 'DevOps', 'Microsoft Azure', 'OpenStack', 'Docker', 'Kubernetes']"
37,DevOps Consultant,Cloud Computing,Scrum,Linux,C#,Jenkins,docker,unknown,['unknown'],unknown,,,,,,,,,,"['Cloud Computing', 'Scrum', 'Linux', 'C#', 'Jenkins', 'docker']"
38,Cloud Engineer,Big data,Business Intelligence,Amazon Web Services (AWS),Data Mining,Project management,Finance,unknown,['unknown'],unknown,,,,,,,,,,"['Big data', 'Business Intelligence', 'Amazon Web Services (AWS)', 'Data Mining', 'Project management', 'Finance']"
39,Technical Consultant,DevOps,Microsoft Azure,Asp.Net Core,Angular,SQL,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['DevOps', 'Microsoft Azure', 'Asp.Net Core', 'Angular', 'SQL', 'unknown']"
40,VMware Engineer Hybrid Cloud,MySQL,UML,PHP,Python,PhpMyAdmin,HTML5,unknown,['unknown'],unknown,,,,,,,,,,"['MySQL', 'UML', 'PHP', 'Python', 'PhpMyAdmin', 'HTML5']"
41,Internship ,React.js,Node.js,MongoDB,Express.js,systemd,Microsoft Azure,Skills: Microsoft Azure · Jenkins · docker,['Skills: Microsoft Azure · Jenkins · docker'],Skills: Microsoft Azure · Jenkins · docker,,,,,,,,,,"['React.js', 'Node.js', 'MongoDB', 'Express.js', 'systemd', 'Microsoft Azure']"
42,Information Technology Instructor,Service-Oriented Architecture (SOA),System Administration,Microsoft Azure,Automation,Ansible,Initiation Cloud,Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,['Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing'],Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,,,,,,,,,,"['Service-Oriented Architecture (SOA)', 'System Administration', 'Microsoft Azure', 'Automation', 'Ansible', 'Initiation Cloud']"
43,Summer Internship,Python (Programming Language),AngularJS,Angular Material,Flask,Workbench,docker,"Design, development and implementation of a cyber threat analysis tool within CERT Axians.
This tool allows you to store, organize and visualize information about cyber threats.","['Design, development and implementation of a cyber threat analysis tool within CERT Axians.', 'This tool allows you to store, organize and visualize information about cyber threats.']","Design, development and implementation of a cyber threat analysis tool within CERT Axians.","This tool allows you to store, organize and visualize information about cyber threats.",,,,,,,,,"['Python (Programming Language)', 'AngularJS', 'Angular Material', 'Flask', 'Workbench', 'docker']"
44,DevOps and Cloud Computing intern,odoo12,Python (programming language),Scrum,Jacoco,Mockito,Continuous Integration and Continuous Delivery (CI/CD),"Setting up a Kubernet cluster production ready using Kubespray
Creation of nginx pods
Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard
Cluster +Application monitoring via prophesying and Grafana","['Setting up a Kubernet cluster production ready using Kubespray', 'Creation of nginx pods', 'Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard', 'Cluster +Application monitoring via prophesying and Grafana']",Setting up a Kubernet cluster production ready using Kubespray,Creation of nginx pods,Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard,Cluster +Application monitoring via prophesying and Grafana,,,,,,,"['odoo12', 'Python (programming language)', 'Scrum', 'Jacoco', 'Mockito', 'Continuous Integration and Continuous Delivery (CI/CD)']"
45,Cloud platform engineer,Testing Automation,Robot Framework,Jenkins,Test Cases,Test Planning,Internet Protocol Suite (TCP/IP),unknown,['unknown'],unknown,,,,,,,,,,"['Testing Automation', 'Robot Framework', 'Jenkins', 'Test Cases', 'Test Planning', 'Internet Protocol Suite (TCP/IP)']"
46,Student,.NET framework,RESTful web services,Spring Boot,OpenStack,C#,Database Management System (DBMS),unknown,['unknown'],unknown,,,,,,,,,,"['.NET framework', 'RESTful web services', 'Spring Boot', 'OpenStack', 'C#', 'Database Management System (DBMS)']"
47,DevOps engineer,Network administration,Team spirit,Linux System Administration,Critical Spirit,Sense of organization,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['Network administration', 'Team spirit', 'Linux System Administration', 'Critical Spirit', 'Sense of organization', 'unknown']"
48,Microsoft Certified Trainer,Java,Java Enterprise Edition,Project Management,Product Management,Pricing Strategy,Search Engine Optimization (SEO),unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'Java Enterprise Edition', 'Project Management', 'Product Management', 'Pricing Strategy', 'Search Engine Optimization (SEO)']"
49,Cloud and Automation engineer ,Unified Modeling Language (UML),Unix Administration,Java Web Services,Network Security,Linux,Java,unknown,['unknown'],unknown,,,,,,,,,,"['Unified Modeling Language (UML)', 'Unix Administration', 'Java Web Services', 'Network Security', 'Linux', 'Java']"
50,Junior Software Engineer,DevOps,Cloud computing,Linux System Administration,Virtualization,Network Security,DNS,Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,['Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.'],Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,,,,,,,,,,"['DevOps', 'Cloud computing', 'Linux System Administration', 'Virtualization', 'Network Security', 'DNS']"
51,Cloud Data Engineer GCP,Go,Kubernetes,Docker,Java,Angular,Linux,unknown,['unknown'],unknown,,,,,,,,,,"['Go', 'Kubernetes', 'Docker', 'Java', 'Angular', 'Linux']"
52,Student,Ansible,OpenStack,Docker,AWS CloudTraining,Kubernetes,Amazon EKS,unknown,['unknown'],unknown,,,,,,,,,,"['Ansible', 'OpenStack', 'Docker', 'AWS CloudTraining', 'Kubernetes', 'Amazon EKS']"
53,Cloud & DevOps Engineer ,Microsoft Office,Management,Microsoft Excel,Customer service,Leadership,Microsoft Word,"Load test implementation for new features developed by the dev team before deployment on the production environment
Create Jenkins pipeline to automata test execution
Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS
Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool
Monitor production environment servers on AWS using CloudWatch service
Automatic several manual tasks using Jenkins pipelines
Automation and management test and production environment services on AWS","['Load test implementation for new features developed by the dev team before deployment on the production environment', 'Create Jenkins pipeline to automata test execution', 'Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS', 'Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool', 'Monitor production environment servers on AWS using CloudWatch service', 'Automatic several manual tasks using Jenkins pipelines', 'Automation and management test and production environment services on AWS']",Load test implementation for new features developed by the dev team before deployment on the production environment,Create Jenkins pipeline to automata test execution,Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS,Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool,Monitor production environment servers on AWS using CloudWatch service,Automatic several manual tasks using Jenkins pipelines,Automation and management test and production environment services on AWS,,,,"['Microsoft Office', 'Management', 'Microsoft Excel', 'Customer service', 'Leadership', 'Microsoft Word']"
54,Cloud DevOps Engineer,Docker,Jenkins,Ansible,Cloud Computing,Java Enterprise Edition,.NET framework,unknown,['unknown'],unknown,,,,,,,,,,"['Docker', 'Jenkins', 'Ansible', 'Cloud Computing', 'Java Enterprise Edition', '.NET framework']"
55,DevOps Engineer,Node.js,React.js,MongoDB,Infrastructure,Vagrant,Cassandra,"In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia","['In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia']","In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia",,,,,,,,,,"['Node.js', 'React.js', 'MongoDB', 'Infrastructure', 'Vagrant', 'Cassandra']"
56,SysAdmin DevOps Engineer,Amazon Web Services (AWS),Unix,MySQL,Public Speaking,C#,Article,unknown,['unknown'],unknown,,,,,,,,,,"['Amazon Web Services (AWS)', 'Unix', 'MySQL', 'Public Speaking', 'C#', 'Article']"
57,DevOps & Cloud Engineer,Maven,Microsoft Azure,Google Cloud Platform (GCP),Docker products,Linux,JavaFX,unknown,['unknown'],unknown,,,,,,,,,,"['Maven', 'Microsoft Azure', 'Google Cloud Platform (GCP)', 'Docker products', 'Linux', 'JavaFX']"
58,Cloud & Support Engineer,Amazon Web Services,Linux,Git,REST API,Microsoft Azure,Windows Server,unknown,['unknown'],unknown,,,,,,,,,,"['Amazon Web Services', 'Linux', 'Git', 'REST API', 'Microsoft Azure', 'Windows Server']"
59,DevOps Engineer and Cloud Architect,MySQL,Java,Linux,Symfony,C++,HTML5,unknown,['unknown'],unknown,,,,,,,,,,"['MySQL', 'Java', 'Linux', 'Symfony', 'C++', 'HTML5']"
60,Cloud Operations Engineer,Ansible,OpenStack,Unix,Virtualization,Cloud Computing,Automation,unknown,['unknown'],unknown,,,,,,,,,,"['Ansible', 'OpenStack', 'Unix', 'Virtualization', 'Cloud Computing', 'Automation']"
61,DevOps engineer,docker,Kubernetes,Ansible,Terraform,Java,JavaScript,unknown,['unknown'],unknown,,,,,,,,,,"['docker', 'Kubernetes', 'Ansible', 'Terraform', 'Java', 'JavaScript']"
62,DevOps Engineer,Infrastructure as code (IaC),Amazon Web Services (AWS),CI/CD,Gitlab,Google Cloud Platform (GCP),Google Kubernetes Engine (GKE),"Modernisation of Kubernetes resources - Best Practices
Migration to a Highly Available and Secure GKE Cluster
Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...
Security stack: Certmanager, Letsencrypt...
Networking stack: Pomerium, Kubernetes Gateway API...","['Modernisation of Kubernetes resources - Best Practices', 'Migration to a Highly Available and Secure GKE Cluster', 'Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...', 'Security stack: Certmanager, Letsencrypt...', 'Networking stack: Pomerium, Kubernetes Gateway API...']",Modernisation of Kubernetes resources - Best Practices,Migration to a Highly Available and Secure GKE Cluster,"Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...","Security stack: Certmanager, Letsencrypt...","Networking stack: Pomerium, Kubernetes Gateway API...",,,,,,"['Infrastructure as code (IaC)', 'Amazon Web Services (AWS)', 'CI/CD', 'Gitlab', 'Google Cloud Platform (GCP)', 'Google Kubernetes Engine (GKE)']"
63,Cybersecurity and cloud DevSecOps engineer ,Cloud Computing,Cybersecurity,DevOps,Elastic Stack (ELK),Kibana,Windows Server,"‐ Administration of SFM IT tools
‐ Administrator Systems and Networks 
- Implementation of security architectures (security software installation and manipulation)
- Cloud manager
- Penetration tests
- Vulnerability analysis of web applications
- Continuous Integration (DevOps)
‐ Internal audit of SFM's IS
‐ Implementation of the safety of the SFM IS
‐ Participation in the development of the strategic plan for the digital development of SFM","['‐ Administration of SFM IT tools', '‐ Administrator Systems and Networks ', '- Implementation of security architectures (security software installation and manipulation)', '- Cloud manager', '- Penetration tests', '- Vulnerability analysis of web applications', '- Continuous Integration (DevOps)', ""‐ Internal audit of SFM's IS"", '‐ Implementation of the safety of the SFM IS', '‐ Participation in the development of the strategic plan for the digital development of SFM']",‐ Administration of SFM IT tools,‐ Administrator Systems and Networks ,- Implementation of security architectures (security software installation and manipulation),- Cloud manager,- Penetration tests,- Vulnerability analysis of web applications,- Continuous Integration (DevOps),‐ Internal audit of SFM's IS,‐ Implementation of the safety of the SFM IS,‐ Participation in the development of the strategic plan for the digital development of SFM,"['Cloud Computing', 'Cybersecurity', 'DevOps', 'Elastic Stack (ELK)', 'Kibana', 'Windows Server']"
64,Cloud engineer,google G suite,Symfony Framework,GitHub,HTML,Bootstrap,JavaScript,"*Contributes to the updating of a private cloud provisioning, management and billing platform.
*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.","['*Contributes to the updating of a private cloud provisioning, management and billing platform.', '*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.']","*Contributes to the updating of a private cloud provisioning, management and billing platform.",*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.,,,,,,,,,"['google G suite', 'Symfony Framework', 'GitHub', 'HTML', 'Bootstrap', 'JavaScript']"
