,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
12,BI Consultant,Java,C,JavaScript,Talend Open Studio,Power BI,Data analysis,unckown,Business Intelligence Engineer,Data Science Internal,"Development of an intelligent and self-learning chatbot in the banking field.
Development of a web platform for monitoring and continuous improvement of chatbot system with facial recognition.",unckown,unckown,unckown
13,Business Intelligence Internal,Telecommunications,Microsoft Word,Strategic planning,Business intelligence,Big data,Data analysis,unckown,Engineering student in ERP-Business Intelligence,Business Intelligence Student ,unckown,unckown,unckown,unckown
14,web3 developer,PHP,HTML5,JavaScript,HTML,Node.js,Laravel,I'm currently a we3 developer at Lightency.,Web3 Developer at Lightency & Software Engineering Student at ESPRIT & Business Intelligence Graduate,Web Development Consultant,unckown,unckown,unckown,unckown
15,Trainee ,PostgreSQL,Talend,Microsoft Power BI,unckown,unckown,unckown,PFE course,Business Intelligence Student At ESPRIT,Trainee,unckown,unckown,unckown,unckown
16,Business Intelligence Engineer,Data Analytics,Gaming,python,Microsoft Power BI,Microsoft Excel,Google Analytics,unckown,Business intelligence engineer - Data analyst - Data engineer,Data Analyst/Engineer intern,Skills: Google Analytics · Google BigQuery · MariaDB · MongoDB · Amazon Redshift · Amazon S3 · Python (Programming Language) · Microsoft Power BI · Microsoft Excel,unckown,unckown,unckown
17,Decision-making intelligence developer,Analytical,Microsoft Power BI,SQL,Decision-making informatics,SQL Server Integration Services (SSIS),Microsoft BI Suite,Developer in decision-making computing ,ERP-Business intelligence engineering student at ESPRIT,Business Intelligence Analyst,unckown,unckown,unckown,unckown
18,unckown,Machine Learning,Microsoft Power BI,Data Analysis,Java,TensorFlow,PL/SQL,unckown,Business Intelligence Student at Esprit,unckown,unckown,unckown,unckown,unckown
19,Business Intelligence Internal,DevOps,Angular,Spring Boot,Microsoft Power BI,Business Intelligence (BI),Big Data,Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),Business intelligence internal at INETUM,Business Intelligence Student,Skills: DevOps · Angular · Spring Boot · Microsoft Power BI · Business Intelligence (BI) · Big Data · Web Development · SQL Server Integration Services (SSIS),unckown,unckown,unckown
0,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
1,Cloud Engineer,Cloud Computing,Software Development,Astrophysics,Qt,Symfony Framework,Amazon Web Services (AWS),unckown,"Software Engineer Student at ESPRIT Tunisia
- Cloud Computing - Public Speaking - Astronomy",unckown,unckown,unckown,unckown,unckown
2,Cloud engineer and devops,Java,Cloud Computing,Git,Linux System Administration,MySQL,Ansible,unckown,Ops & Cloud Engineer at Chanel,Cloud engineer and devops,unckown,unckown,unckown,unckown
3,Cloud & DevOps Engineer,DevOps,Cloud Computing,Amazon Web Services (AWS),IT Infrastructure Management,Software Development,Infrastructure as code (IaC),unckown,Cloud & DevOps Engineering Student,DevOps Engineer ,"CI/CD pipeline for a Java Spring-Boot microservices based application:
-Setup and manage tools with Ansible. 
-Jenkins as an integration server
-Build code with Maven
-Build Docker Images
-Push to Nexus Private Repository
-Deploy to AKS cluster",unckown,unckown,unckown
4,Internship - PFE,Oracle Database,C++,Linux,Network administration,Web development,Network security,unckown,IT Architecture & Cloud Computing Engineer internal @EY,Internship - DevOps Engineer,Skills: Angular · DevOps · Kubernetes · Amazon Web Services · Kafka · Spring Boot · React.js,unckown,unckown,unckown
5,System Administrator,Engineers,Linux,Cloud Computing,DevOps,Amazon Web Services,Jenkins,"Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.
-Technologies: Nagios, Postfix, SMS Server Tools.",Cloud/DevOps engineer,unckown,unckown,unckown,unckown,unckown
6,Senior Devops Engineer,Continuous Integration and Continuous Delivery (CI/CD),IT Infrastructure Operations,Security,Server Administration,GitOps,Docker,unckown,Cloud & DevOps Engineer,Cloud & DevOps Engineer,"- Deployment and maintenance of Kubernetes clusters over multiple Cloud providers with autoscaling feature (AKS,GKE,EKS,OVH).

- Design and Implementation of a CI / CD chain including unit testing, e2e testing and security testing phases based on GitLab CI, Gitops, secret management.

- Deployed CI/CD pipeline using Github Actions and Elastic Kubernetes Services (EKS).

- Setting up automatic backups for various types of services(Azure,GCP,K8S,PVC, Mongo,Postgresql,Mariadb...) using different tools like Argo Workflow, Velero,Kasten.

- Implementation of monitoring solutions based on datadog and promiseus (APM, Alert Manager, log mapping, RUM, Sythetic Testing, Stress Testing...).

- Design and deployment of ephemeral environments with Gitlab-Ci and Github-Actions.

- Pentest of Web Applications.

- Setting up Mongo DB cluster using MongoDB Atlas.

- Migrating from docker-comose to Kubernetes manifests running under reaction and sympony.

- Automated build, deployment using Gitlab-CI pipelines.

- Cost optimization for Azure and GCP services (FinOps).",unckown,unckown,unckown
7,Trainee,unckown,unckown,unckown,unckown,unckown,unckown,unckown,Cloud & DevOps Engineer,Trainee,unckown,unckown,unckown,unckown
8,DevOps & Cloud Engineer,Go,Terraform,Ansible,Scrum,Docker,Angular,unckown,DevOps & Cloud Engineer ,DevOps Engineer,unckown,unckown,unckown,unckown
9,Cloud Support Engineer,Virtualization,Cloud Computing,Git,Microsoft Azure,Network Administration,DevOps,"24/7 development operations on IBMI AS400 system
Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.
Working on server health checks
Continue monitoring using HALCYON monitoring tool
Analyzing and taking care of ERP applications-related alerts
Generating and Sending the Performance Reports on time to customers.",Cloud Support Engineer,Graduation Internship,"Working on a project equipped ""smart space management"" using Iot and Edge computing technologies to create a monitoring system, my main tasks were:
- Infrastructure provisioning using terraform to create resources in Azure portal
- Building CI/CD pipelines using GitHub actions and Azure devops
- Azure Iot Edge
- Iot hardware provisioning",unckown,unckown,unckown
10,DevOps Engineer,Tekton CI/CD,Gitlab,Continuous Integration and Continuous Delivery (CI/CD),Apache Kafka,OpenShift,Quarkus,unckown,Cloud & DevOps Engineer,IT Architecture and Cloud Computing Engineer,"Build, maintain and enhance a modern, cost-effective, and flexible anti-money laundering system in event-driven microservices architecture using open-source middleware (RedHat products), cloud and container technologies.
Automatic Business automation services deployment with cloud-native CI/CD pipelines.",unckown,unckown,unckown
11,Azure Engineer,Cloud Computing,Cloud Applications,Enterprise Mobility,Networking,Microsoft Azure,System administration,Skills: Microsoft Azure,Azure Engineer,Cloud Engineer,unckown,unckown,unckown,unckown
12,unckown,Spring Boot,Symfony Framework,Kubernetes,OpenStack,PHP,Engineering,unckown,Engineer student at ESPRIT Tunisia & Cloud Computing & DevOps,unckown,unckown,unckown,unckown,unckown
13,Cloud Engineer ,C++,Java,SQL,Linux,PHP,JavaScript,unckown,"Cloud Engineer, Blockchain Ops at WENEXT.IO",Blockchain Ops,unckown,unckown,unckown,unckown
14,Cloud & DevOps Engineer ,Cloud Computing,Cloud Security,OpenStack,Big Data,Virtualization,Storage Virtualization,"Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).
Migrating on-premises Applications to the cloud (hybrid and full public solutions ).
Working With Azure Kubernetes Service both Managed and UnManaged.
Writing DockerFiles and Generating Docker Images.
Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).
Support of the Infrastructure and running Applications."," Cloud & DevOps Engineer 

",Cloud & DevOps Consultant,Full Time External Consultant,unckown,unckown,unckown
15,Senior Azure Cloud Engineer,CentOS,Apache,MySQL,VoIP,System Administration,Network security,unckown,System & Cloud engineer (RedHat® & 3x Azure®),Senior System Engineer,unckown,unckown,unckown,unckown
16,Internship Engineer DevOps,Cloud Computing,DevOps,AWS,Project management,Engineering,Analytical skills,Continuous integration and deployment (CI/CD) of an HRM application under odoo.,"Cloud Architect
Devops engineer 
Student in the Higher Private School of Engineering and Technologies - ESPRIT",Student,unckown,unckown,unckown,unckown
17,DevSecOps Engineer,Nexus,Jenkins,Azure SQL,Azure Active Directory,Powershell scripting,Cloud security,unckown,DevOps & Cloud Engineer,DevOps Engineer,Skills: SQL Azure · Azure Active Directory · Powershell scripting · Cloud security · Azure DevOps · Microsoft Azure · Terraform · Kubernetes · Openshift,unckown,unckown,unckown
18,DevOps & Kubernetes Administrator ,Cloud Computing,DevOps,Microsoft Azure,OpenStack,Docker,Kubernetes,"- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;
- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;
- Separating metrics and logs per namespaces using Prometheus federator;
- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;
- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;
- Kubernetes cluster administration.",Cloud & DevOps Engineer - Junior BI Consultant,Cloud & DevOps Engineer,"Creation of an infrastructure (private Cloud) on OpenStack (Controller/Compute/Storage/Network)
and implementation of a PaaS (Master/Worker) with Ansible.
Development of a web application with Spring Boot and Angular13.
Deployment on Azure with Kubernetes Cluster.
Methodology : Scrum",unckown,unckown,unckown
19,DevOps Consultant,Cloud Computing,Scrum,Linux,C#,Jenkins,docker,unckown,Cloud & Devops engineer ,Technical support engineer,unckown,unckown,unckown,unckown
20,Cloud Engineer,Big data,Business Intelligence,Amazon Web Services (AWS),Data Mining,Project management,Finance,unckown,Cloud Engineer,Data Analyst,"Through Workplace Intelligence Solutions, Measuremen collect data and report insights on the actual use of the workplace, work activities and employees health and wellbeing.
- Working extensively with different AWS services to manage and maintain our infrastructure
with a focus on AWS database offerings",unckown,unckown,unckown
21,Technical Consultant,DevOps,Microsoft Azure,Asp.Net Core,Angular,SQL,unckown,unckown,Software Engineer,Technical Consultant,unckown,unckown,unckown,unckown
22,VMware Engineer Hybrid Cloud,MySQL,UML,PHP,Python,PhpMyAdmin,HTML5,unckown,Cloud Engineer,Cloud Administrator,"- Implementation and management of VMware products (VSphere, VRealize Suite)
- Implementation and Deployment of Dell EMC Avamar Backup Solution
- Implementation of Data Protection Extension, Data Domain Virtual Edition
- Implementation of the VRealize Operations monitoring solution
- Automation of customer daily reports
- Implementation and handling of automation products.",unckown,unckown,unckown
23,Internship ,React.js,Node.js,MongoDB,Express.js,systemd,Microsoft Azure,Skills: Microsoft Azure · Jenkins · docker,Cloud Computing & DevOps engineer,In-company immersion course,"Web application MERN, the objective is to facilitate deliveries between Tunisia and France/England, make it automated so that the delivery person finds the recovery and delivery tour of the parcels with circuit optimization display on a Map.
I contributed to the realization of the template from scratch, the security of the application, the admin part and the vehicle turn of the delivery machine.",unckown,unckown,unckown
24,Information Technology Instructor,Service-Oriented Architecture (SOA),System Administration,Microsoft Azure,Automation,Ansible,Initiation Cloud,Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,"DevOps Engineer, PhD in Cloud Computing, Professional & Academic Instructor, Cofounder @LearninGate",Technical Trainer,Skills: Initiation Cloud · Object-Oriented Programming (OOP) · Algorithms · Linux System Administration · Shell Scripting · Kubernetes · Docker Products,unckown,unckown,unckown
25,Summer Internship,Python (Programming Language),AngularJS,Angular Material,Flask,Workbench,docker,"Design, development and implementation of a cyber threat analysis tool within CERT Axians.
This tool allows you to store, organize and visualize information about cyber threats.",Cloud/Devops GDSC Lead的 Cloud Computing engineer student at ESPRIT ,PFE,Design and development of a web / mobile application for baby growth tracking + chatbot integration,unckown,unckown,unckown
26,DevOps and Cloud Computing intern,odoo12,Python (programming language),Scrum,Jacoco,Mockito,Continuous Integration and Continuous Delivery (CI/CD),"Setting up a Kubernet cluster production ready using Kubespray
Creation of nginx pods
Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard
Cluster +Application monitoring via prophesying and Grafana",DevOps & Cloud Computing engineer,Intern in Web Development,Development of a web application containing the functionality required by the TNC,unckown,unckown,unckown
27,Cloud platform engineer,Testing Automation,Robot Framework,Jenkins,Test Cases,Test Planning,Internet Protocol Suite (TCP/IP),unckown,Cloud platform engineer at Maibornwolff GmbH,Quality Assurance Automation Engineer,unckown,unckown,unckown,unckown
28,Student,.NET framework,RESTful web services,Spring Boot,OpenStack,C#,Database Management System (DBMS),unckown,Cloud Computing & DevOps student,PFE course,unckown,unckown,unckown,unckown
29,DevOps engineer,Network administration,Team spirit,Linux System Administration,Critical Spirit,Sense of organization,unckown,unckown,DevOps & Cloud Computing Engineer,Trainee,unckown,unckown,unckown,unckown
30,Microsoft Certified Trainer,Java,Java Enterprise Edition,Project Management,Product Management,Pricing Strategy,Search Engine Optimization (SEO),unckown,"Microsoft Certified Trainer, Cloud Engineer",Cloud Engineer,unckown,unckown,unckown,unckown
31,Cloud and Automation engineer ,Unified Modeling Language (UML),Unix Administration,Java Web Services,Network Security,Linux,Java,unckown,Student at Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT的 DevOps & Cloud Computing,Cloud Computing Internal ,unckown,unckown,unckown,unckown
32,Junior Software Engineer,DevOps,Cloud computing,Linux System Administration,Virtualization,Network Security,DNS,Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,Cloud/SRE engineer apprentice,Security Technician,"Designing and integrating,as an end of studies project, a CMS plugins vulnerabilities detection and prevention platform using PHP/Symfony2.",unckown,unckown,unckown
33,Cloud Data Engineer GCP,Go,Kubernetes,Docker,Java,Angular,Linux,unckown,Cloud Data Engineer,Cloud Data Internal,"• Build a benchmark tool, a full GCP solution for benchmarking cloud dataflow jobs.
• Automatic benchmark infrastructure deployment using Terraform.
• Participate in the implementation of a Datalake platform LakeHouse to run federated questions from a single interface BigQuery Omni.
• Explore different data silos using a single source of truth BigQuery.
• Deploy an automated chain to build and refresh datawarehouses and datamarts in the LakeHouse.
• Technologies: GCP services (Pub/Sub, Dataflow, Cloud storage, BigQuery, CloudSQL, Dataproc, Cloud Workflow, Cloud Function, EventArc), Terraform, GitLab Ci, Git.
• Methodology: Agile.",unckown,unckown,unckown
34,Student,Ansible,OpenStack,Docker,AWS CloudTraining,Kubernetes,Amazon EKS,unckown,Cloud Computing/DevOps Engineer Student ,unckown,unckown,unckown,unckown,unckown
35,Cloud & DevOps Engineer ,Microsoft Office,Management,Microsoft Excel,Customer service,Leadership,Microsoft Word,"Load test implementation for new features developed by the dev team before deployment on the production environment
Create Jenkins pipeline to automata test execution
Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS
Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool
Monitor production environment servers on AWS using CloudWatch service
Automatic several manual tasks using Jenkins pipelines
Automation and management test and production environment services on AWS",Cloud and DevOps Engineer at RHIS Software,load test engineer Intern,"Design and implementation of load testing for the ""MyRhisV2"" application which is developed in microservice architecture using Gatling as a highly capable loading testing tool
Gatling Integration with JENKINS
Automation the launch of performance tests with Jenkins
Monitor infrastructure resources after launching tests",unckown,unckown,unckown
36,Cloud DevOps Engineer,Docker,Jenkins,Ansible,Cloud Computing,Java Enterprise Edition,.NET framework,unckown,Cloud & DevOps Engineer at Laevitas,unckown,unckown,unckown,unckown,unckown
37,DevOps Engineer,Node.js,React.js,MongoDB,Infrastructure,Vagrant,Cassandra,"In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia",Cloud & Devops Engineer ,unckown,unckown,unckown,unckown,unckown
38,SysAdmin DevOps Engineer,Amazon Web Services (AWS),Unix,MySQL,Public Speaking,C#,Article,unckown,"Cloud & DevOps Engineer
",DevOps QA Engineer Trainee,unckown,unckown,unckown,unckown
39,DevOps & Cloud Engineer,Maven,Microsoft Azure,Google Cloud Platform (GCP),Docker products,Linux,JavaFX,unckown,DevOps & Cloud Engineer at FelCloud,Web developer,"- Development and implementation of the official website of ALAF El MARAI.
- Supervision and continuous handling of errors and bugs. 
- DNS configuration. 
- Setting up the mail servers.
Technical environment: Html, CSS, Java script, Bind, Linux, MacOs.",unckown,unckown,unckown
40,Cloud & Support Engineer,Amazon Web Services,Linux,Git,REST API,Microsoft Azure,Windows Server,unckown,Cloud & Support Engineer,Cloud Computing and Support Intern,unckown,unckown,unckown,unckown
41,DevOps Engineer and Cloud Architect,MySQL,Java,Linux,Symfony,C++,HTML5,unckown,DevOps Engineer and Cloud Architect Internal,IT Manager,unckown,unckown,unckown,unckown
42,Cloud Operations Engineer,Ansible,OpenStack,Unix,Virtualization,Cloud Computing,Automation,unckown,Cloud operations engineer,DevOps Engineer ,unckown,unckown,unckown,unckown
43,DevOps engineer,docker,Kubernetes,Ansible,Terraform,Java,JavaScript,unckown,DevOps and Cloud Computing Engineer,DevOps Engineer,"develop a proof of concept and end-to-end solution of the equipment including sensors, a cloud platform for data collection, storage and synthesis and a monitoring cockpit. These data will be used for decision making, in this project my Tasks were generally:
-Implement a Cloud solution to collect, classify and store the collected data. (Azure provider)
-Implementation a Web solution to visualize Dashboards and report on the environment.
- Implementation a machine learning model for estimates and prediction of key environmental information.
- automation of the architecture using Terraform and github actions workflow.",unckown,unckown,unckown
44,DevOps Engineer,Infrastructure as code (IaC),Amazon Web Services (AWS),CI/CD,Gitlab,Google Cloud Platform (GCP),Google Kubernetes Engine (GKE),"Modernisation of Kubernetes resources - Best Practices
Migration to a Highly Available and Secure GKE Cluster
Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...
Security stack: Certmanager, Letsencrypt...
Networking stack: Pomerium, Kubernetes Gateway API...",DevOps & Cloud Computing Engineer,DevOps Engineer,"Automated docking and deployment of MEAN stack, MERN stack and Django applications using Docker, GitLab CI/CD pipeline and AWS.",unckown,unckown,unckown
45,Cybersecurity and cloud DevSecOps engineer ,Cloud Computing,Cybersecurity,DevOps,Elastic Stack (ELK),Kibana,Windows Server,"‐ Administration of SFM IT tools
‐ Administrator Systems and Networks 
- Implementation of security architectures (security software installation and manipulation)
- Cloud manager
- Penetration tests
- Vulnerability analysis of web applications
- Continuous Integration (DevOps)
‐ Internal audit of SFM's IS
‐ Implementation of the safety of the SFM IS
‐ Participation in the development of the strategic plan for the digital development of SFM","Cybersecurity and Cloud DevSecOps Engineer at SFM Group, Cybersecurity Consultant, IT Cybersecurity Trainer, Cybersecurity content creator",Teacher-Trainer,"• Readings: Computer Systems: Unix, Networks, Virtualization Techniques, Virtualization and Security, Cloud Security, Privacy, Access Control & Identity Management.
Competencies: Linux system administration · cloud computing security · Virtualization and Security · Identity and Access Management (IAM) · Cloud Computing",unckown,unckown,unckown
46,Cloud engineer,google G suite,Symfony Framework,GitHub,HTML,Bootstrap,JavaScript,"*Contributes to the updating of a private cloud provisioning, management and billing platform.
*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.",Cloud engineering student,Web developer,"*Contribution to the drafting of the specification for the official website of the box.
*Integrate a new template for the website.
*Improving the content and graphics of the website.",unckown,unckown,unckown
47, Aviation Database administrator,Amazon Web Services (AWS),Analytical Skills,DevOps,Oracle Database,ICAO,Aviation,"- Installing and upgrading the Oracle Database server and application tools

- Allocating system storage and planning future storage requirements for the database system

- Creating primary database storage structures (tablespaces) after application developers have designed an application

- Creating primary objects (tables, views, indexes) once application developers have designed an application

- Modifying the database structure, as necessary, from information given by application developers
- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.",DevOps & Cloud infrastructure engineer,Air Traffic Controller,"- keep radio and radar contact with aircraft
- direct the movement of aircraft on route or at an airport
- instruct aircraft to climb or descend and allocate final
cruising level
- provide information to aircraft about weather conditions
- make sure that minimum distances are maintained
between planees",unckown,unckown,unckown
48,Data Analyst ,Analytical skills,Investigator's brochure (BI),Iaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Big data,Deep learning,Data mining,Automatic processing of CVs and profiles with Big Data (cv library),Business Intelligence: Data Analyst: Data Engineer:Cloud Computing.,Data Analyst,unckown,unckown,unckown,unckown
49,Trainee,Unified Modeling Language (UML),GitLab,DevOps,Docker products,Prometheus.io,Kubernetes,"-Deploy applications using (Docker and HelmChart and Ubuntu)
-Open pods with kubernets
- use gitlab to ensure continuous integration
- use of ArgoCD to ensure continuous delivery",Cloud & DevOps Engineer Internal @insomea,Computer intern,unckown,unckown,unckown,unckown
50,Cloud Engineer,Amazon Web Services,JavaScript,Python,MySQL,php,Symfony,unckown,"DevOps Engineer, AWS re/Start Instructor, AWS Certified Solution Architect-Associate",AWS re/Start Instructor,unckown,unckown,unckown,unckown
51,DevOps Engineer,Cloud Development,Kubernetes,DevOps,Ansible,Azure DevOps,Java,unckown,"DevOps Engineer, Microsoft Azure Certified",DevOps Engineer,Skills: Jenkins · Amazon Web Services (AWS) · PostgreSQL · Sonarqube · Git,unckown,unckown,unckown
52,Cloud & DevOps Engineer,Microsoft Azure,Linux,Helm,Azure Kubernetes Service (AKS),Azure DevOps,Git,"Project:
- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.

Goal:
- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.

Tasks:
* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).
* Setting up three namesspaces on AKS (Dev, Int, Prod).
* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.
* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).
* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.
* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).
* Ensure own cost management on Azure (Kubecost).
* Create Pull Requests for major changes done on existing files in GitLab reste (git).

Technical environment:
- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.",Enthusiastic Cloud & DevOps Engineer,End of studies project,"- Subject : Design and development of a real-time voice and data traffic billing simulator (based on the DIAMETER protocol). 
- Tools : Seagull, Netbeans IDE 8.1, Power AMC.",unckown,unckown,unckown
53,IT Support Specialist,unckown,unckown,unckown,unckown,unckown,unckown,unckown,IT network engineer at Teleperformance/cloud computing and devops engineering student,Developer,unckown,unckown,unckown,unckown
54,Cloud & DevOps Engineer,kubernets,Project management,Git,Microsoft Azure,Docker,AKS,unckown,Cloud & DevOps Engineer,Technical Support Engineer,"- Deployment of Azure for Education services (WVD, Azure Lab Services, Moodle On AKS) for the accounts of ministries in Tunisia in collaboration with Microsoft.
- Administration and troubleshooting of IT infrastructure: 
    o Microsoft Infrastructure Technologies: Active Directory, DNS, Azure AD, Exchange and Office 365.
   o Anti-virus solutions (Trend Micro and Microsoft)
   o Security solutions (Microsoft, Fortinet, etc.)
   o Networking and IP telephony
   o Virtualization technology: Hyper-V, Hyper-V cluster
- Advice and technical assistance to users via telephone or remote support.
- Technical troubleshooting of customers and maintenance of their computer parks.
- Clients' IT Park Managership.
- Participation in workplace migration projects via SCCM (System Center Configuration Manager).
- Implementation of Lab Fortigate for NSE4 certification on Azure.
- Conducting preventive visits and audits on client platforms.
- Evaluation of IT park architectures and proposal of optimization solutions.",unckown,unckown,unckown
55,System and Backup Ingineer,Talking in public,Social networks,Customer service,Teamwork,Network Administration,Cloud Computing,unckown,CLOUD & DEVOPS ENGINEER,SOFTWARE DEVELOPER,unckown,unckown,unckown,unckown
56,Cloud Support Engineer,System Administration,Amazon Web Services (AWS),Kubernetes,Software Development,Shell Scripting,C++,unckown,Cloud support engineer at aws,Cloud Support Engineer,unckown,unckown,unckown,unckown
